"","Index","variable","value","L1"
"1","High","Min",0,"Phylosor.Phylo"
"2","Random","Min",0.0202071246291944,"Phylosor.Phylo"
"3","Low","Min",0.0127526172517485,"Phylosor.Phylo"
"4","High","Max",0.982931573656833,"Phylosor.Phylo"
"5","Random","Max",0.891161614688827,"Phylosor.Phylo"
"6","Low","Max",0.641128045274935,"Phylosor.Phylo"
"7","Random","Min",0,"MNTD"
"8","High","Min",0,"MNTD"
"9","Low","Min",0,"MNTD"
"10","Random","Max",15.9895913041884,"MNTD"
"11","High","Max",28.1222821276851,"MNTD"
"12","Low","Max",5.83880627978859,"MNTD"
"13","Low","Min",0,"Sorenson"
"14","High","Min",0.942857142857143,"Sorenson"
"15","Random","Min",0.681818181818182,"Sorenson"
"16","Low","Max",0.8,"Sorenson"
"17","High","Max",1,"Sorenson"
"18","Random","Max",0.947368421052632,"Sorenson"
